Gene dn_damaging_DD dn_lof_DD X1 X2 BF qvalue
GNAI1 5 0 4281961.15769342 0.540404204358512 2313989.81251737 1.23463247735129e-06
ASXL1 0 4 0.323778535747592 5881928.68682706 1904442.25759262 1.56534681412079e-06
EFTUD2 3 2 1197.15434642067 1217.62716356979 1457687.65118745 1.98987942457309e-06
CTCF 5 0 3505847.01425998 0.289896501268858 1016332.78341784 2.59196301147876e-06
SRCAP 1 4 2.6645828835166 363351.302265457 968179.660720002 3.20257275933247e-06
DNMT3A 4 1 74634.65342562 12.5197478722649 934407.043422637 3.81396213918997e-06
TRIP12 2 3 69.4638858840249 12252.5469403011 851109.522449738 4.46756374760811e-06
CLTC 2 3 20.0546115750457 29167.1444819418 584935.753338579 5.42090439973172e-06
BRPF1 0 4 0.0691187909744311 7372376.50954774 509569.750948236 6.49090336699849e-06
FOXG1 0 3 0.999980729074914 476336.21974968 476327.040310074 7.60391033931704e-06
SET 0 3 0.816593769826811 358453.903995529 292711.224772846 9.43446113590467e-06
CNOT3 2 2 146.924123979746 1569.30039749447 230568.086162942 1.17232249175111e-05
MAP4K4 3 2 775.841005216942 218.052508799102 169174.077616772 1.48098865148542e-05
SIN3A 1 3 3.06973431922078 49309.3976398352 151366.750195107 1.81764071727191e-05
TAB2 0 3 0.860021390212338 148572.964977659 127775.927888055 2.20909653135991e-05
PUF60 0 3 0.496674639223093 237495.487848087 117957.985744061 2.62274609893441e-05
QRICH1 0 3 0.729577507368585 152847.201533087 111513.880302773 3.04916023514781e-05
MBD5 0 3 0.806001380290633 110096.542446052 88737.9651767444 3.58059449340686e-05
CHD4 5 1 54770.3098372248 1.26030817840024 69027.4694213696 4.25856441293291e-05
MYT1L 2 2 80.3982116676891 815.670224230661 65578.4273387281 4.95447676271622e-05
SHANK3 0 3 0.999980729074914 58173.7624924803 58172.6414302613 5.72533013474392e-05
SCN8A 6 0 911240.779639379 0.0445319040990158 40579.2870100132 6.83397827125644e-05
CSNK2A1 4 0 179212.099287233 0.218096217608462 39085.4810042177 7.95621457990334e-05
HNRNPK 1 2 16.4560892140986 2104.14619649566 34626.0175290389 9.20187550770742e-05
COL4A3BP 4 0 120396.509952447 0.186495199036928 22453.371086933 0.000111374630904122
HIVEP2 2 2 55.2552447875674 399.905243862772 22096.8621414693 0.000130535001653523
WDR26 1 2 8.52762838812582 2054.82920121157 17522.8198290017 0.000154496614005123
ARID2 0 3 0.421273550818828 37609.4972436913 15843.8864483608 0.000180509671278503
KCNH1 4 0 59751.1619345092 0.249031072663053 14879.8959494146 0.000207636345826043
HK1 3 1 1006.20443021187 12.8612557251143 12941.0524886978 0.00023841486077566
TCF12 1 2 6.62650662454978 1696.76026985245 11243.5931684501 0.000273383865287183
SON 0 3 0.370306234766294 24553.6435368707 9092.36728793233 0.000316320973324899
WHSC1 0 3 0.160506661228191 55320.6116652792 8879.32667549529 0.000359292180180691
FOXP2 1 2 8.21197178326391 779.822579116815 6403.88101565937 0.000419020493570907
HIST1H1E 0 2 0.783526662990438 7032.11532632206 5509.84985539704 0.000487524009286821
TNPO3 1 2 8.14812986604723 633.63111867231 5162.90864211076 0.000559248445912338
RAB11A 3 0 9656.73920756858 0.455630307437741 4399.90305399056 0.000642470167875064
PUM2 1 2 4.55217148656602 942.447884937085 4290.18438938505 0.000726008635135638
C9orf142 0 2 0.915960812478588 4657.27881215172 4265.8848847178 0.000808135095034143
PRPF40A 1 2 5.49442685668584 733.580076435764 4030.60207349831 0.000893572742858005
KCNB1 2 1 129.329685946546 31.1262333528238 4025.5459842196 0.000977206972600945
ZBTB7A 0 2 0.999980729074914 4023.1628931936 4023.08536312287 0.00105903884829565
MAP2K1 3 0 7732.08563445396 0.491396418770473 3799.5191903973 0.0011444185905054
VEZF1 0 2 0.999980729074914 3528.43606509373 3528.36806886665 0.0012352468358669
CAMTA1 1 2 8.30794231248567 413.032177076977 3431.44750035589 0.0013269790152826
FOSL2 0 2 0.57858458976851 4717.83734203904 2729.66798313821 0.00144314361553955
GABRB2 3 0 5612.45087651521 0.395142393916882 2217.71727508713 0.00158617368269803
EEF1A2 3 0 3849.14275761365 0.539001822059435 2074.69495972064 0.00173684431046861
MN1 0 2 0.999980729074914 1841.20973277743 1841.1742509626 0.00190501644743237
LZTR1 2 1 99.5143488897526 16.6754154298432 1659.44310896698 0.00208952342241071
SLC2A1 0 2 0.368147267184054 3803.40666039584 1400.21376801436 0.00230679716705297
KDM5B 0 3 0.0945788715745825 12257.5901412786 1159.30904378586 0.00256737451887779
LARP4B 0 2 0.714613851558446 1566.12714252948 1119.17614935322 0.00283256695404446
SUV420H1 0 2 0.653965791101997 1565.62921225569 1023.86794636519 0.00311848926311482
MEIS2 0 2 0.369676769757352 2558.31896545699 945.751091159112 0.00342363194598377
SF1 0 2 0.475991894720446 1956.49299330578 931.274806890897 0.00372788924446694
KCNQ3 3 0 4176.92687149933 0.195814951085874 817.904731031912 0.00407080294200782
PRKD1 3 0 3273.5728290742 0.230183187874231 753.521429534765 0.00443789807985677
CHD7 2 2 23.6872670721557 31.5861585581174 748.189773549583 0.00480087035408933
CACNA1E 2 2 9.02061023781423 79.9444236825437 721.147486726913 0.00517147331808694
PRR12 0 2 0.791694701004045 896.544604864495 709.789612884986 0.00554155741709531
SETD2 1 2 8.25295262914166 83.9807412548321 693.089079336332 0.00591441781336851
DCXR 1 1 13.8565321521041 48.7165046118894 675.041812492772 0.00629123801121767
SLC12A2 2 1 71.6895717740691 9.40244730592252 674.057420989835 0.00666192202923953
GOLPH3 1 1 11.8984689871984 55.4871184163552 660.211757666005 0.0070344852333535
OTX1 1 1 10.982587212172 55.1507352023567 605.697759175284 0.00743697188681109
SNX11 1 1 15.9023811623557 37.3932062744546 594.641019058969 0.00784055416664509
CHD3 3 1 756.193421574705 0.76689867648269 579.923734170558 0.00824830936567459
SMPD2 1 1 14.6698923797832 38.3113657170666 562.023611991884 0.00866325196737146
PTEN 1 1 14.4628829071827 38.4324340091552 555.843792912437 0.00907620586909869
CACNA1A 5 0 96401.9845925994 0.00544490678477759 524.899819974269 0.00950892894152994
MAP2 0 2 0.654596729322091 764.521315797709 500.453152818202 0.00995753483564049
TGFB2 1 1 11.0876737932109 44.6224544099757 494.759218350234 0.0104043645631849
FBXO11 0 2 0.498089135466397 988.289972003749 492.256497745457 0.0108463656859406
EIF4A2 1 1 12.6554739697066 38.3822691072673 485.745807585296 0.0112877331791898
CUL3 0 2 0.288093572402945 1607.9499529455 463.240046189217 0.0117457641733322
NAA15 0 2 0.320156212494505 1445.28848089646 462.718086005749 0.0121970391997401
ARID1A 1 2 1.69612476151465 230.644901479008 391.202528515651 0.0127321619346089
VAMP2 2 0 435.410165539849 0.752621169567144 327.698908030025 0.0133689789343923
NOC4L 1 1 10.0825505069207 31.4550868245572 317.147501608174 0.0140178302075492
KIF11 0 2 0.32189748504617 961.656774941305 309.554897331217 0.0146731482006132
PRKAR1A 1 1 11.7985788128936 25.8795539548318 305.341956978615 0.0153278006442701
LEO1 1 1 14.9066233551768 20.3892734896623 303.935220396086 0.0159756304748066
CTNND1 0 2 0.287964152351995 1006.0797104208 289.714891009867 0.0166470044710586
FAM104A 2 0 450.877952960964 0.614329836961078 276.987779331853 0.0173404838973231
PHIP 1 2 2.90901624740305 88.5951969362036 257.724867329289 0.0180772943498686
HIST1H2AC 2 0 292.188250033096 0.867380848753983 253.438492309648 0.0188160177126707
CAMK2A 1 1 11.3070573394963 21.880466709289 247.40369169687 0.019562464090526
TRAF7 1 1 11.7720958124021 19.6259144694256 231.038145540087 0.0203522812521368
ASIC2 1 1 7.93098842657839 28.7492852429583 228.010248534303 0.0211413577037859
DOPEY1 1 2 2.83146117330594 76.8544041221002 217.610261269291 0.0219575373746899
MYH13 0 2 0.999980729074914 210.889559267254 210.885495230356 0.02278847400798
AZI1 3 0 1764.72502568842 0.118014900830521 208.263848899757 0.0236182445412261
RAB11B 2 0 286.193295652085 0.671208690275797 192.09542714035 0.0245067735975501
CLDN5 2 0 281.438745296094 0.670753615205131 188.776055866151 0.0253984941283938
TMEM26 2 0 341.905793737962 0.535123272774309 182.961747325556 0.0263061419509262
PHF12 1 1 10.4829636955422 14.7150443347338 154.257275539308 0.0273655539918965
NOBOX 2 0 454.517021431072 0.331148367082346 150.512569458031 0.0284354852030711
PPP2R3A 1 1 10.5154952756234 14.2984206991732 150.354975311032 0.0294919279719858
GLI3 0 2 0.174176203148435 846.404688359163 147.423554945433 0.0305541708191802
PHTF2 1 1 9.02465293985156 16.2630826371099 146.768676532043 0.0316066987776567
FAM5B 1 1 5.06636762764064 27.2172375899261 137.892531439406 0.0327097581004569
CYP27C1 2 0 278.449867948891 0.47867598000948 133.287263423946 0.033834168480659
SYT1 2 0 318.664899285052 0.417567094005736 133.063975956089 0.0349455662086044
BNC2 1 1 6.95225803046014 19.0803053230826 132.651205906032 0.0360457214530897
NFE2L2 2 0 271.921245569366 0.469378583697276 127.634009122548 0.0371726000272672
OGFOD3 2 0 255.617037753955 0.477332313080743 122.014271893943 0.0383336929800884
SMARCA4 4 0 3521.11298188002 0.0338749409978606 119.277494507987 0.0395047786616444
AIFM3 1 1 6.16645768478187 19.1875767553486 118.319380135362 0.0406698104147445
ZFHX3 1 2 1.40662542795654 84.0107306262987 118.171629920159 0.0418214631275889
ENO1 2 0 247.28962371731 0.465398038772938 115.088105886934 0.0429876197430709
LAMB1 0 2 0.999980729074914 113.4422122938 113.440026157425 0.0441550918345591
PSAP 2 0 269.075833795287 0.409394696955367 110.158219434634 0.0453405877561035
PPP1CB 2 0 284.813867777278 0.384201106966155 109.425803279342 0.0465188643631198
SETD1A 0 2 0.176535762555421 595.403653356839 105.110037973633 0.0477276948061103
CHD8 0 3 0.0329584033687099 2975.56143096971 98.0697538902755 0.0490010448027474
WARS 2 0 204.799253778919 0.4554682127285 93.2795500868146 0.0503175512359258
TCF7L2 1 1 7.31352970375732 12.715029778565 92.9917479696942 0.051621835255413
NR2F1 2 0 181.329349565373 0.506571479408723 91.8562768695525 0.0529249321751512
CBL 1 1 7.61113671784101 12.0002544527 91.3355772883799 0.0542191823420082
ATP1A3 3 0 460.740710495177 0.184012591192666 84.7820920061674 0.05558649493745
MAEA 2 0 167.970130959625 0.474054592095621 79.6270119163128 0.0570139642932391
SOX5 1 1 5.11097048364396 15.3976167272529 78.6967646114521 0.0584391554402962
PPP2R1A 2 0 218.749947381086 0.353956014788386 77.4278596101783 0.0598677126671111
NR4A2 2 0 173.137276800788 0.433908015487746 75.1256521835824 0.0613168984842478
HIVEP3 0 2 0.19841901081891 371.011717514566 73.6157779914652 0.0627745064356745
GABRB3 2 0 216.898432836632 0.338135090029466 73.3409711144646 0.064220070117235
WDR87 0 2 0.592361713288005 123.121465626623 72.9324423211164 0.0656560709597814
PBX1 2 0 203.19839674954 0.356188814071257 72.3769959593994 0.0670852097957111
OR10J3 0 1 0.999980729074914 72.2444028125782 72.2430105961037 0.0685005515910417
CRCT1 0 1 0.999980729074914 71.7922409796774 71.7908574767797 0.0699077080448977
HIST1H4H 0 1 0.999980729074914 71.4830128462726 71.4816353024871 0.0713044550108867
ITPR1 5 0 11627.0059027051 0.00609499233610937 70.8665118688862 0.0726961971820109
PLAC1L 0 1 0.999980729074914 69.6221027467183 69.6207610643919 0.0740940278200288
PTMA 0 1 0.999980729074914 68.7168568152051 68.7155325778053 0.0754923583442268
TMEM105 0 1 0.999980729074914 68.1490410961582 68.1477278010925 0.0768854739432255
GUCA2A 0 1 0.912830725784193 74.1682222461396 67.703032143067 0.0782713836713432
C13orf45 0 1 0.999980729074914 66.9561959705599 66.9549056627233 0.0796556900940101
KCNE2 0 1 0.955306747960854 69.9453292407726 66.8192450120536 0.08102761081356
TEX12 0 1 0.999980729074914 66.4158458675277 66.4145659727375 0.0823921549963122
RYBP 0 1 0.999980729074914 65.7352722065799 65.7340054270736 0.0837544662631197
CASKIN1 2 0 531.1012468506 0.120963537809598 64.2438857541374 0.0851296122656802
LY6E 0 1 0.937032094634551 68.439843458682 64.1303298725496 0.0864924525947343
TOMM20L 0 1 0.970736368881092 66.0091677575703 64.0774998218466 0.0878420673322474
OR2L3 0 1 0.999980729074914 62.9301253313286 62.9289126095977 0.0891989510464955
EIF4EBP1 0 1 0.808258352177314 76.7641977696033 62.045303995473 0.0905584579232641
MEA1 0 1 0.999980729074914 61.9937256009726 61.9925309245307 0.0919050178184987
POU3F3 0 1 0.999980729074914 61.9231894353447 61.9219961182 0.0932391643456392
LRP3 2 0 180.692147465569 0.338556282687733 61.1744617568067 0.0945738794002301
TNFRSF6B 0 1 0.999980729074914 60.8179176333795 60.8167456158449 0.0959019103755956
GIMAP1 0 1 0.999980729074914 60.6602694967193 60.6591005172102 0.097219591329877
SECTM1 0 1 0.999980729074914 60.1880280577291 60.1868681787493 0.0985330881317925
SOX11 0 1 0.999980729074914 59.8561856385297 59.8550321544603 0.0998398569418441
TAS2R14 0 1 0.999980729074914 58.7214086677416 58.7202770518742 0.101155607982267
PTPN11 2 0 224.185477736323 0.260522222178287 58.4052988399677 0.102464545700975
CSPP1 1 1 13.3212811352801 4.32076023221921 57.5580617715302 0.103777320663254
LMO4 0 1 0.857551833943244 65.289037981388 55.9887342573294 0.105108841614701
FAM84A 0 1 0.934419796156245 59.5135703708917 55.610658294499 0.106435164714841
ZRANB1 2 0 214.043465445908 0.257524565724651 55.1214504851568 0.107758723373439
ARL14EP 0 1 0.86735264301847 62.4436384949943 54.1606548883231 0.10908952283361
PHF5A 0 1 0.816978393884369 65.4855923583549 53.5003140674953 0.110421498453622
RPL26 0 1 0.94813101723001 54.9201296757251 52.0714784158493 0.111771474316615
APCS 0 1 0.847809193214437 60.5507993131259 51.3355243141506 0.113124784453999
MPZ 0 1 0.852605570887895 59.1034489717675 50.3919298520174 0.114486321581479
CREBZF 0 1 0.963300293945836 51.9567638927924 50.0499659304013 0.11584276301164
MRPL41 0 1 0.707755104673727 69.9118356370407 49.4804585492261 0.117199411756913
BPIFA3 0 1 0.999980729074914 48.8214886524954 48.820547817245 0.1185585216737
C9orf135 0 1 0.897929934796252 54.2684425279601 48.7292590606254 0.119907142724926
RTDR1 0 1 0.92417022092202 52.7182159174619 48.7206052510555 0.121243532056643
C19orf71 0 1 0.897116123002989 54.1633371532942 48.590803035867 0.122570621680425
ZNF623 0 1 0.999980729074914 48.3994149757483 48.3984822742481 0.123889975608485
YY1 0 1 0.999980729074914 48.0027770353005 48.0018519773803 0.125206400042875
SLC35A4 0 1 0.8235687926094 56.917832727989 46.8757507777337 0.126537014026953
FAM65A 1 1 5.3806020133567 8.379563099347 45.087094083396 0.127898438768244
ZNF273 0 1 0.999980729074914 44.511870311381 44.5110125264628 0.129261790005836
RPS20 0 1 0.845898665054814 52.264078379779 44.2101141317752 0.13062040190014
ZFP36L2 0 1 0.770769241462343 56.1447487835905 43.2746454320219 0.131990313337842
CYFIP2 3 0 611.278312483223 0.070754516343815 43.2507013512138 0.133348704761198
EMX1 0 1 0.64673223311844 66.0866908710473 42.7403931664404 0.13470801410328
ATP6V0C 0 1 0.608778037427595 69.5176952250897 42.3208460656198 0.136066076244491
FAM200A 0 1 0.996435121289497 42.3488501526922 42.1978816383686 0.137415415322349
PGBD4 0 1 0.999980729074914 42.0136213088497 42.0128116675008 0.138757742095819
SPRY1 0 1 0.713381709848676 58.761463179992 41.9193530765527 0.140090829498835
TTC9C 0 1 0.848080026353652 49.3952642246204 41.8911369853617 0.141413142121978
FAM200B 0 1 0.999980729074914 41.3039431493953 41.3031471842011 0.142739111101337
MYL6B 0 1 0.79569129147252 51.7700339564922 41.1929651784175 0.144056573113887
RSU1 0 1 0.810355699438587 50.7917362275455 41.1593729363729 0.145363682282504
BTBD19 0 1 0.999980729074914 41.0040247535049 41.0032345680157 0.146663702866692
ZNF775 0 1 0.999980729074914 40.9164326652136 40.9156441677049 0.147954988164916
ENKUR 0 1 0.772898854626577 52.6568941753451 40.698453196317 0.149240964429772
KLF1 0 1 0.838997194032616 48.2871955537845 40.5128215773294 0.150520921919445
LRRC46 0 1 0.8895358054905 45.4495129218269 40.4289690860682 0.151792354181675
ZSCAN22 0 1 0.999980729074914 39.9991881338265 39.9984173124684 0.153064259475273
ZNF391 0 1 0.999980729074914 39.6517622925387 39.650998166398 0.154334605886224
BPTF 0 2 0.999980729074914 39.447656582615 39.4468963897802 0.155599774093095
AKAP7 0 1 0.883072334304424 44.5813958585993 39.3685973074029 0.156856596075297
KRT18 0 1 0.898095071410202 43.6626499881652 39.2132107590799 0.158107171380477
FAM71F1 0 1 0.793816714492563 48.5107860131405 38.508672770403 0.159365916589998
TOP2B 0 2 0.111374249199784 344.835259886182 38.4057681674361 0.160617166821887
ZC2HC1B 0 1 0.852216171489058 44.7748074820424 38.1578150115058 0.161864830903959
IRF2BPL 0 1 0.999980729074914 38.0172859533408 38.0165533250712 0.163106184426877
SPRY2 0 1 0.755631683842611 50.1223346368512 37.8740241197667 0.164341351037525
TRIML1 0 1 0.786902669496667 47.9617680932813 37.7412433463831 0.165570162994898
VAPA 0 1 0.676877646874179 55.5042218852371 37.5695671012616 0.166793732580619
WTIP 0 1 0.999980729074914 37.4419828196702 37.4412612780242 0.168011001205683
RRAS 0 1 0.630405232893333 59.0218974272176 37.2077129934116 0.169224829019288
HOXC10 0 1 0.669664911815526 55.3584270296938 37.0715961550861 0.170432722006164
PRRX2 0 1 0.551626961208084 67.1071381667186 37.018106702278 0.17163258552186
ANP32A 0 1 0.789190202447756 46.7647957712828 36.9063186421666 0.172826047882677
HTR3C 0 1 0.887062331234149 41.1446946962322 36.4979087951571 0.174021023626749
S1PR4 0 1 0.601522209018653 60.1929811942204 36.2074150153657 0.175214475245542
NUP85 2 0 190.830166223325 0.188870461825026 36.0421816247459 0.176403139835404
OTX2 0 1 0.727163375360568 49.0025822150551 35.6328830848832 0.177593626621311
FAM26F 0 1 0.693719076059015 51.2152833815045 35.529019067518 0.178777809369946
C1orf198 0 1 0.800252305406649 44.3143784407142 35.4626835098443 0.179954762368077
FADS3 0 1 0.999980729074914 35.4400101204305 35.4393271586504 0.181123422616217
GPRIN1 0 1 0.999628792431389 35.4333842390989 35.4202310986879 0.182283770995127
BHLHE40 0 1 0.648035287570364 54.6172376401752 35.3938973004498 0.183436093601379
SNAP25 0 1 0.735488097175618 48.0510372679901 35.3409659675488 0.184581185220537
C16orf93 0 1 0.819536399961858 42.9654198984887 35.211725546457 0.185721147503808
SKIDA1 0 1 0.999980729074914 34.9913349126786 34.9906605972848 0.186858485394669
C3AR1 0 1 0.674179586509152 51.6007195316427 34.7881517574176 0.187992771685638
AADAC 0 1 0.677685579585683 50.8220520937777 34.4413718289055 0.189127927689196
SPATA2 0 1 0.777688197398759 44.1793705190169 34.3577750211461 0.190256970421845
TNFRSF1A 0 1 0.805657577790221 42.5381302946473 34.2711670169104 0.191380052978989
SETD1B 1 1 4.75764153470669 7.12432284651704 33.8949742812493 0.192505008539134
ASCC3 1 2 0.58196597924858 57.8386393577663 33.6601203922479 0.193628103488873
IMPAD1 0 1 0.596919225271489 56.2774431102861 33.5930877416522 0.19474486570431
KIAA1984 0 1 0.999980729074914 33.4539344850104 33.4532897967451 0.195857328279883
TOB1 0 1 0.628794542217014 53.0567531368938 33.3617968002342 0.196964250278545
CDKN2AIP 0 1 0.850750086622221 39.1605353598666 33.3158288495791 0.19806447277749
DNAJB6 0 1 0.923728432560922 35.734686952068 33.009146366289 0.199165092765072
PLEK 0 1 0.743640129064312 44.119024809852 32.80867730379 0.20026329771259
PLEKHB2 0 1 0.999980729074914 32.6500392713813 32.6494100749204 0.201358026808772
SCGN 0 1 0.732068088225425 44.4324240306039 32.5275597153056 0.202448321186179
TNFRSF21 0 1 0.756879661031226 42.8651932346516 32.4437929254811 0.203533206357622
MOGAT3 0 1 0.627953327277476 51.6309142654366 32.421804403359 0.204611072742563
LRIF1 0 1 0.877404054630874 36.8669528518453 32.3472139140943 0.205683413978118
SULT4A1 0 1 0.673814990160212 47.4058477609566 31.9427708425854 0.206759235085477
DTWD2 0 1 0.637899895497308 50.007067487558 31.8995031244401 0.207828760819692
DNAJC17 0 1 0.69862626169142 45.2214606965507 31.5929000346567 0.208899231121597
TELO2 2 0 152.618767091133 0.205523190337491 31.3666959179442 0.209968505341099
NPFFR2 0 1 0.742398784265265 42.0253624496596 31.1995779909344 0.211035012953457
C7orf43 0 1 0.999980729074914 30.7388853697739 30.7382930030167 0.212106943442429
ZFYVE27 0 1 0.897756071598282 34.1288252235163 30.6393600609284 0.213174301064574
PDX1 0 1 0.587734687570287 51.9462450972008 30.5306101326528 0.214237413543865
ZNF865 0 1 0.999980729074914 30.449029557579 30.4484427766115 0.215295596120371
GDAP1L1 0 1 0.591263239401574 50.544807401433 29.8852865590999 0.216362344034442
GALM 0 1 0.595284266918659 50.0420088281256 29.7892205403878 0.217424607894858
METAP1D 0 1 0.61737643642134 48.2108457054734 29.7642401185043 0.218480443387791
ECHS1 0 1 0.576535704766552 51.3670953989353 29.6149645476359 0.219533402381208
TRIM72 0 1 0.619878055836908 47.0752612414515 29.1809214163655 0.220591584673162
GET4 0 1 0.570914449418375 50.2161426478919 28.6691214317358 0.22165734190279
GABBR2 2 0 160.081369083571 0.178804851945388 28.6233254982029 0.222717355388806
SDSL 0 1 0.562534415136191 50.8140795096189 28.5846684976274 0.223771479298896
EXOC2 2 0 251.878354794202 0.113274002364017 28.5312693564032 0.224820194858749
LZTFL1 0 1 0.795794680695544 35.7230983950623 28.4282516807541 0.225864976576323
ODC1 0 1 0.642675394455908 43.8371577509267 28.1730626494027 0.226910237972788
GFOD2 0 1 0.520390703963118 53.5797591476082 27.8824085809981 0.227957060099606
GCM1 0 1 0.683493644167251 40.7388929986644 27.8447744349969 0.228998170697766
ZNF567 0 1 0.679625291067128 40.8075907033465 27.7338707095101 0.230035740429382
ZBTB1 0 1 0.912683090995845 30.3365441302625 27.6876508669398 0.231067947923555
OPCML 0 1 0.566032809149013 48.4692176910058 27.4351674468951 0.232100804343714
DECR1 0 1 0.556915956148136 48.97647906739 27.2757826685846 0.233131656044123
SIRPB1 0 1 0.903895793713218 30.0365510413821 27.1499121439576 0.234159571684536
DYNC1H1 7 0 79332.1299979371 0.000341471792991296 27.0896846722142 0.235182686733432
CHST10 0 1 0.66366089776801 40.6110160166425 26.951943348876 0.236203300700622
SPEN 0 2 0.999980729074914 26.9030240083976 26.9025055622374 0.237218888787709
RNF167 0 1 0.643251807331452 41.7124667593323 26.8316196311936 0.238230122658724
HNRNPA2B1 0 1 0.649623540380882 41.2623017525741 26.8049625487715 0.239235767526369
ZFPL1 0 1 0.57727259186002 46.2232770710985 26.6834309590969 0.240238619824999
CTSZ 0 1 0.511492962643274 52.1300484810445 26.6641529403069 0.241235761006963
HNRNPD 0 1 0.719089284161133 37.0642266692508 26.6524882235776 0.242227025447085
IL23R 0 1 0.835280145709484 31.900209813249 26.6456119009737 0.243212330467587
PAQR6 0 1 0.791998930252388 33.0996069062978 26.2148532615624 0.244203958389124
SKAP2 0 1 0.691591338263751 37.7930910169868 26.1373743935617 0.245191711761215
SRRM2 0 2 0.999980729074914 25.6552618668086 25.6547674661791 0.246187468797295
SLA 0 1 0.6295287272537 40.5975261868546 25.5573089900593 0.24717997962939
LPGAT1 0 1 0.658459062311832 38.5938531590926 25.4124723621366 0.248170678807072
PA2G4 0 1 0.666319662996847 37.7779741090418 25.1722069770403 0.249162426274204
DNAJA1 0 1 0.719868848841143 34.1876859467204 24.6106501270082 0.250164890095764
CHMP7 0 1 0.68946668407314 35.320351895589 24.3522059017482 0.251169069904188
