Gene yMis3 yLoF t.case t.control bfAll BF qvalue
HECTD4 0 2 1 0 201.508753721773 65.0979971682965 0.0579277134616164
TSPAN4 1 1 0 0 64.5226695909765 64.9591778419 0.0613850835439363
LRRC4 1 1 0 0 59.9807222939453 60.3865033991543 0.0649664273942439
TBL1XR1 1 1 0 0 54.9274308357776 55.2990254538218 0.068727858898654
TMEM39B 1 1 0 1 42.7413268199162 55.2987969752696 0.0723549681681172
GALNT18 1 1 0 0 53.5638367695954 53.9262064119129 0.0759425949315113
GABRB3 1 1 0 0 52.6246415964864 52.9806574030917 0.0794678118824116
STXBP1 1 1 0 0 45.8620316853335 46.1722971371765 0.0833577998820337
CSDE1 1 1 0 0 45.0792644783516 45.3842343597144 0.0871795825918912
PLCD4 1 1 0 0 44.1607975530164 44.4595538292439 0.0909488606030332
NAA15 1 1 0 0 43.5955414487795 43.8904736589082 0.0946416500814563
MTUS1 1 1 0 1 32.945924184679 42.6254893847201 0.0983187300929322
P4HA2 3 0 0 2 24.923019004741 40.7793651354419 0.102034134996015
MLL3 0 2 0 0 40.2005612134419 40.4725257302956 0.10566117984881
RELN 2 1 0 0 39.2430360327674 39.5085227078877 0.109260334798817
VCP 1 1 0 0 38.3893194414287 38.6490305598581 0.112826304620019
TLK2 1 1 0 0 38.0958495201924 38.3535752582458 0.116313034592497
RAI1 1 1 0 0 36.7260424939832 36.9745012244421 0.119820078630958
ATP1A1 1 1 0 0 36.6125346531977 36.8602254813153 0.123237093127151
UBE3C 1 1 0 0 36.4249500423553 36.6713718245562 0.126574514501995
ERBB2IP 1 1 0 1 26.3777900487454 34.127626938389 0.130051564279887
MYO1E 1 1 0 1 23.428861406439 30.3122983461687 0.133819945528997
PNPLA7 1 1 0 2 14.4017029111661 23.5642520464667 0.138322161924825
OR51A2 0 1 0 0 20.9978923690506 21.1399471434299 0.143065569217689
MUC21 0 1 0 0 20.9420136318468 21.0836903758377 0.147692914388166
OR4C11 0 1 0 0 20.8712040750601 21.0124017788009 0.152211064333669
OR2T10 0 1 0 0 20.8346130081833 20.9755631663296 0.156618987997096
GIGYF2 1 1 0 0 20.7523063833476 20.8926997213705 0.160927844309752
OR10Z1 0 1 0 0 20.7211805308398 20.861363296493 0.165133669693898
NRG4 0 1 0 0 20.6547368278843 20.7944700891269 0.16924556003344
IFNA10 0 1 0 0 20.6099109268292 20.7493409322427 0.173263784101862
TM4SF19-TCTEX1D2 0 1 0 0 20.5451565383968 20.6841484679369 0.177194661931724
PTMS 0 1 0 0 20.3122929039354 20.4497094662685 0.181065872685051
C10orf114 0 1 0 0 20.1855184228269 20.3220773314491 0.184864409573531
BST2 0 1 0 0 20.1757473669728 20.3122401725257 0.188576015804257
MLANA 0 1 0 0 20.0690189848352 20.2047897523865 0.192217537693137
IL3 0 1 0 0 20.0419200253617 20.1775074632479 0.19578013588479
ASB17 0 1 0 1 15.5781959126098 20.1550947784562 0.199265797151087
OR52M1 0 1 0 0 19.9445966591857 20.0795256858095 0.202684432041881
C11orf24 0 1 0 1 15.4038645844715 19.9295446273866 0.206048524179711
FAM168B 0 1 0 0 19.7672759613008 19.9010053793501 0.209343376731375
SIRPB2 0 1 0 0 19.675992997905 19.8091048691767 0.212579809913289
PLA2G16 0 1 0 0 19.627176653331 19.7599582726568 0.215753986452054
IL27 0 1 0 0 19.6104918235293 19.7431605667773 0.218863575152168
VIP 0 1 0 0 19.6021963951466 19.7348090182285 0.221909482020585
LYPD4 0 1 0 1 15.1987224106846 19.6641313549558 0.224901828508068
PLXNB1 1 1 0 0 19.5002848150417 19.6322079867127 0.227837248934667
P2RX5-TAX1BP3 0 1 0 0 19.4730434596737 19.6047823383441 0.230716895817583
SPP2 0 1 0 0 19.4668780829637 19.5985752516767 0.233539740883257
NPBWR1 0 1 0 2 11.9498000028738 19.5524168849688 0.236312520452766
TCTE3 0 1 0 0 19.3871684543204 19.518326372088 0.239035205656661
TUSC1 0 1 0 0 19.3755632966668 19.5066427033142 0.241706475378205
IFI30 0 1 0 0 19.3286413052575 19.4594032756218 0.244332198118098
DESI2 0 1 0 0 19.3172584145564 19.4479433774792 0.246909308440596
ATF4 0 1 0 0 19.301222948978 19.4317994288967 0.249439750891226
RGS2 0 1 0 0 19.2849882421252 19.4154548911342 0.251924859593391
RPL12 0 1 0 0 19.255472595771 19.3857395657642 0.254367489874632
TPT1 0 1 0 0 19.1975769639187 19.3274522588439 0.256772200598155
GLYAT 0 1 0 0 19.1826713138113 19.312445769151 0.259134952675851
CBX4 0 1 0 0 19.0849979659898 19.214111642374 0.261466616052805
PDCD1 0 1 0 1 14.8214107561425 19.1759649330561 0.26376107269398
ZFAND5 0 1 0 0 19.0404386788488 19.1692509030982 0.266015693177356
DBX2 0 1 0 0 19.0076773676009 19.1362679552881 0.268234530139296
SPDYC 0 1 0 0 18.9948685865961 19.1233725204199 0.270416241943148
OVOL1 0 1 0 0 18.9847606043877 19.1131961557707 0.272561483499755
CYB561D1 0 1 0 0 18.946991977448 19.0751720168166 0.274674302907074
DOCK5 1 1 1 2 33.5539798355431 19.0499256988627 0.276754113278347
FAM177A1 0 1 0 1 14.7202708158936 19.0451099166576 0.278799499148364
MTHFS 0 1 0 1 14.708332390414 19.0296639626847 0.280812482788925
PRSS38 0 1 0 0 18.7658111454731 18.8927654617188 0.28280708425083
ST20-MTHFS 0 1 0 1 14.595298412017 18.8834204207137 0.284769999174691
RAB2A 0 1 0 0 18.7478527549678 18.874685579253 0.286701935299064
GPR39 0 1 0 0 18.6552964667102 18.7815031299305 0.288612668095856
HOXD1 0 1 0 1 14.4808056087473 18.73528944879 0.290497745126901
STARD10 0 1 0 0 18.6044995084103 18.7303625204525 0.292353420915812
MFSD3 0 1 0 0 18.4663149764182 18.591243143564 0.294194511633891
WNT7B 0 1 2 1 141.341882063087 18.5823416511801 0.296007768115697
PLVAP 0 1 0 0 18.3359573018569 18.4600035743001 0.297805675470795
ZBTB45 0 1 0 0 18.3222480859999 18.4462016129651 0.299577356553642
BNIP1 0 1 1 0 56.9149885085704 18.3865548882317 0.30132814984457
ANP32A 0 1 0 0 18.2304497753454 18.3537822691097 0.30305578329056
APOA1BP 0 1 0 1 14.1788897758864 18.3446702615257 0.304758367486979
IFI44L 0 1 0 2 11.2073653870045 18.3376357910745 0.306436253030164
TM4SF19 0 1 0 0 18.1884847629468 18.3115333553432 0.308091909525736
FAM200B 0 1 0 0 18.1746755510961 18.2976307215223 0.309724609260801
SIX2 0 1 0 0 18.1698948723616 18.2928177005781 0.311333952279504
C16orf13 0 1 0 0 18.1638114869245 18.2866931598702 0.31292057590018
THAP5 0 1 0 1 14.119436120302 18.267749026875 0.314486227693448
CMPK2 0 1 0 1 14.0994872973994 18.2419392079091 0.316032028253278
C20orf111 0 1 0 0 18.0872002713893 18.2095636547492 0.317559039944197
PEX11B 0 1 0 1 14.0250962689545 18.1456919763692 0.319070705627812
PYHIN1 0 1 0 1 13.9898135210301 18.1000431006938 0.320565614089936
AMZ2 0 1 0 0 17.9398006740955 18.0611668708727 0.322043476486353
ELAVL2 0 1 0 0 17.9389775988993 18.0603382274147 0.323501033326205
STMN4 0 1 0 0 17.9307892574728 18.052094490286 0.32493940191587
NME9 0 1 0 1 13.9343700367393 18.0283102320743 0.326360432881499
AGPHD1 0 1 0 1 13.9266279233735 18.0182934734234 0.327763195206286
NACC1 0 1 0 0 17.8340333753406 17.9546840360298 0.329153034154423
PRKAR1B 0 1 0 0 17.8278608863684 17.9484697889843 0.330524916052261
MSL2 0 1 0 0 17.8145721749118 17.9350911768427 0.3318798558197
FCRL6 0 1 0 3 8.79717019682289 17.9315968208278 0.333217286329908
IRF2BPL 0 1 0 0 17.7939442836529 17.914323733938 0.334538800983949
ASB4 0 1 0 2 10.9476399880468 17.9126697435411 0.335843302247541
ETV2 0 1 0 0 17.7875519056846 17.9078881103052 0.337131399678451
HSPA13 0 1 0 0 17.7307770325322 17.8507291442326 0.338408079928465
USP29 0 1 0 2 10.8884469086981 17.8158172636793 0.339671597418932
GRAMD2 0 1 0 0 17.6737412002705 17.7933074536123 0.340921110530349
DHRS4L1 0 1 0 0 17.6667856798357 17.7863048777461 0.342155521993029
BTN1A1 0 1 1 1 41.0505134403137 17.7252531154508 0.343379845428008
ETFB 0 1 0 0 17.5340070743949 17.6526279995402 0.34459529724929
C21orf2 0 1 0 0 17.5264896421954 17.6450597104682 0.345796401210381
C19orf21 0 1 0 0 17.5080328812308 17.6264780859712 0.346984373714743
NUDT17 0 1 1 0 54.500858945144 17.6066632131493 0.348159562620626
GPRIN1 0 1 0 0 17.4762800474671 17.5945104381891 0.349321546358509
TLDC1 0 1 0 3 8.62442120346046 17.5794761694281 0.350470809482764
WNT9A 0 1 0 0 17.4597484062729 17.5778669572674 0.351606445135955
SKIDA1 0 1 0 0 17.4210963749869 17.5389534375669 0.35273183775492
LRRTM2 0 1 0 0 17.3874134697503 17.5050426610079 0.353846755858524
PLEKHO1 0 1 0 0 17.3872407015621 17.5048687240097 0.354948571791978
CSTF2T 0 1 0 0 17.3624885934045 17.4799491630869 0.356039569495459
SCAMP2 0 1 0 1 13.4333096757038 17.3800375358616 0.357126153426435
NXPE4 0 1 0 2 10.6213105181809 17.3787252561744 0.358200284004037
NUDT6 0 1 0 2 10.6194151771672 17.375624074763 0.359262322771376
TERF2 0 1 0 0 17.2377147311256 17.3543311816678 0.360313962619273
TYW5 0 1 0 0 17.234101724395 17.3506937322527 0.361353947535668
ZNF490 0 1 1 1 40.1489683431497 17.3359738177518 0.362383370934542
CCDC87 0 1 0 1 13.3956279746076 17.331284890737 0.363401604820385
ZNF614 0 1 1 0 53.6266287501653 17.3242405704301 0.364409025242783
TRIM17 0 1 0 0 17.1898494577275 17.3061420905029 0.365406692652759
POTEH 0 1 0 0 17.1695477144891 17.2857030020727 0.366394955617558
NFE2L3 0 1 0 1 13.3412068528334 17.260874756376 0.367374317358719
SDCCAG3 0 1 0 0 17.1378429373353 17.2537837360128 0.368343532546038
GIMAP8 0 1 0 0 17.0762970452781 17.1918214741763 0.369307061028537
AMBP 0 1 0 2 10.4799854126148 17.1474872957335 0.370263632871872
SCARA3 0 1 0 0 17.0275872941972 17.142782192275 0.3712102846874
ZFP2 0 1 0 1 13.2436918673365 17.1347097122313 0.372147436151322
PLA1A 0 1 0 1 13.2350408138449 17.1235169653924 0.373075479319336
HNRNPD 0 1 0 0 16.987569954303 17.1024941273914 0.373995312667997
GSDMC 0 1 0 1 13.2144703943457 17.0969029237559 0.374905889997116
ATP5SL 0 1 0 0 16.9792073142453 17.0940749124677 0.375807147093915
UGT1A1 0 1 0 0 16.9685099117713 17.0833051400115 0.376699829416227
CYP27C1 0 1 0 1 13.1477236912799 17.0105459326135 0.377588739487901
SLC38A3 0 1 0 0 16.8841687311659 16.9983933751222 0.378469397891594
GRWD1 0 1 0 1 13.1005985670846 16.9495753715851 0.379344676031972
TBCEL 0 1 0 0 16.7781618737249 16.8916693609327 0.380215344929303
ZFHX3 1 1 0 0 16.7701285987555 16.8835817393154 0.381077776209062
BSDC1 0 1 0 0 16.7672072571058 16.8806406342285 0.381931713817651
UGT1A3 0 1 0 2 10.2934511570054 16.8422775409156 0.382779898336871
UGT1A4 0 1 1 0 52.1294426142163 16.8405701737932 0.383619726430016
PHF7 0 1 0 0 16.7183793282976 16.8314823751048 0.38445186246284
RNF146 0 1 0 0 16.7062270544591 16.8192478888 0.385276650105933
TOR1AIP2 0 1 0 0 16.6687866451461 16.7815541879279 0.386096045713352
SUCLG2 0 1 0 0 16.6111649319902 16.7235426528166 0.386911605746238
MEMO1 0 1 1 0 51.7493580413595 16.7177827316074 0.387719624558678
FAM8A1 0 1 0 1 12.9203214875752 16.7163325978853 0.388519902638675
PCOLCE 0 1 0 0 16.5788628160213 16.6910220068297 0.389314258220775
SMARCE1 0 1 0 0 16.55162057653 16.6635954683566 0.390102930042901
ATP1B1 0 1 0 0 16.5407517660195 16.6526531282556 0.39088483152894
LRFN2 0 1 0 0 16.4699382972946 16.5813605928156 0.391664334196675
HAPLN3 0 1 0 0 16.4515720776721 16.5628701221903 0.392437754369252
REPIN1 0 1 0 0 16.4464161849065 16.55767934882 0.393204243300928
RUNDC1 0 1 0 1 12.7574790103907 16.5056467405483 0.393967184122925
PCDHA13 0 1 1 0 51.0656598328112 16.4969120090109 0.394723605345714
TSPAN17 0 1 0 0 16.3660928867113 16.4768126480869 0.395474389889448
RUNDC3B 0 1 0 1 12.7294344394391 16.4693626298129 0.39621873955388
AFM 0 1 0 1 12.7224026356099 16.4602648707761 0.396956857362449
UGT1A5 0 1 0 0 16.3481346666076 16.4587329371755 0.397688308824836
OLFM3 0 1 0 0 16.343658283121 16.4542262700949 0.398413388999172
STAM 0 1 0 1 12.7004873775346 16.4319108748397 0.399133399934046
P2RX5 0 1 0 0 16.3069733527812 16.4172931591563 0.399847888657917
GOPC 0 1 0 2 10.0149388389929 16.3865720941239 0.400558022129244
UGT1A10 0 1 0 2 9.99729745117722 16.3577070278535 0.401263736880329
INSC 0 1 0 1 12.6320619992728 16.3433820110448 0.401964115242094
UGT1A9 0 1 0 1 12.6310861952824 16.3421195142819 0.402658352691771
SLC25A39 0 1 0 1 12.6243142528553 16.3333579643426 0.403347031626837
UGT1A6 0 1 0 0 16.2226169266781 16.3323660456305 0.404029708881401
MYOC 0 1 0 2 9.95717149591473 16.2920524223362 0.404709070336828
BIRC3 0 1 0 0 16.1765934679139 16.2860312293293 0.405382896435853
ZNF420 0 1 0 1 12.5740076955267 16.2682712600397 0.406052032556356
CARKD 0 1 0 0 16.1425694792981 16.2517770618964 0.406716457629003
C10orf90 0 1 0 1 12.5415687001357 16.2263016359388 0.407376821269154
SPARCL1 0 1 0 1 12.5252899704915 16.2052401894983 0.408032890019146
MICALCL 0 1 0 3 7.9423480653295 16.1891813085081 0.408684395157425
UGT1A7 0 1 0 2 9.88490776717802 16.1738135773695 0.409331351058854
UGT1A8 0 1 0 0 15.9759950136116 16.0840756879601 0.409978629238589
BTBD6 0 1 0 0 15.9700455482871 16.0780859733601 0.410620831988141
LDB1 0 1 0 0 15.9422289021837 16.0500811423038 0.411259440777385
ADSS 0 1 0 0 15.9126979083957 16.0203503656716 0.411894614355915
DBF4B 0 1 0 1 12.3652155406547 15.9981356362454 0.412525917137456
SLC7A7 0 1 0 1 12.3230960573609 15.9436413814185 0.413155462738026
NFKBIL1 0 1 0 0 15.8284974648551 15.9355802899603 0.413780319285158
SPRED2 0 1 0 2 9.71660722436533 15.8984380585952 0.414402393548244
ZWILCH 0 1 0 0 15.7495111414872 15.856059608946 0.415022057002429
RAD21L1 0 1 0 0 15.6805733528965 15.7866554429765 0.415641059925556
MFRP 0 1 0 1 12.1980547068449 15.7818626822024 0.416255333389839
ENO3 0 1 0 1 12.1901245318023 15.7716026090533 0.41686527944807
GLTSCR2 0 1 0 0 15.6482705999465 15.7541341556993 0.41747140363824
PSMD13 0 1 0 0 15.5996518963054 15.7051865371911 0.418075726612242
ECM2 0 1 0 1 12.1018410309889 15.6573812745515 0.418678206638565
ZNF226 0 1 0 4 6.25208866488013 15.6535369139806 0.419276125988406
FAM169A 0 1 0 0 15.5235102565726 15.6285297846431 0.419870855909293
RCBTB1 0 1 0 0 15.5103131377516 15.6152433847788 0.420461708699885
PINK1 0 1 0 1 12.0355075537688 15.5715589156689 0.421050612879572
ZNF536 0 1 0 0 15.438594108891 15.5430391629148 0.421636659968701
SKI 0 1 0 0 15.4009774993087 15.5051680697447 0.422220463137237
SLCO1B3 0 1 0 1 11.9592697916669 15.472922377171 0.422801706992964
SMAP2 0 1 0 0 15.338833021342 15.4426031724501 0.423380306449849
EIF2AK2 0 1 0 1 11.9154537899287 15.4162331640683 0.423956053158772
SUFU 0 1 0 0 15.3100283127028 15.4136035944252 0.424527531621393
GABRB1 0 1 0 0 15.2685421152298 15.3718367348591 0.425097174789672
SH2B1 0 1 0 1 11.8767815361902 15.3661989403515 0.425662812051842
TNFRSF8 0 1 0 0 15.2114729288704 15.3143814644943 0.426227289017223
KLHDC10 0 1 0 0 15.2082988437709 15.3111859060995 0.426787682915239
TROVE2 0 1 0 1 11.8227547223244 15.2962989621927 0.427344744868835
BRF2 0 1 0 0 15.1841593349971 15.2868830889131 0.427898184261082
PBX1 0 1 0 0 15.118305547423 15.2205837878192 0.428451455946904
XKR6 0 1 0 0 15.0646819094052 15.1665973755922 0.429003836635531
MPHOSPH8 0 1 0 0 15.0594865585887 15.1613668772297 0.42955242346027
NUAK1 0 1 0 0 15.0267758534597 15.1284348778987 0.430098912519281
BRSK2 0 1 0 0 15.0073024957315 15.1088297791657 0.430642536148892
SCP2 0 1 0 0 15.006483756848 15.1080055013564 0.431182211488234
PSMD12 0 1 0 0 14.8822337970023 14.982914966671 0.431725359482014
SCNN1D 0 1 0 0 14.8775348912842 14.9781842719533 0.432264823736467
ZNF853 0 1 0 0 14.8554293280331 14.9559291603216 0.432801682015034
MAK 0 1 0 3 7.33430616075267 14.9497870443188 0.433335012572987
TNFAIP3 0 1 0 0 14.8105160324922 14.910712017711 0.433866793484981
B4GALNT1 0 1 0 0 14.7738424123889 14.8737902935248 0.434396919758104
CCSER1 0 1 1 0 45.845532484512 14.8105344742318 0.434926962640318
NFIB 0 1 0 0 14.701002563321 14.8004576688896 0.435453810702761
SRSF11 0 1 0 0 14.6837632413699 14.7831017196148 0.435977924383197
DLL1 0 1 0 0 14.6502004281241 14.7493118474919 0.436500293690078
QRICH1 0 1 1 0 45.5305969297779 14.7087936144844 0.437021333501443
ACOX2 0 1 0 1 11.3455693942791 14.6789158218346 0.437540443180676
CTCF 0 1 0 0 14.5586206969838 14.6571125618832 0.438057176533529
MYBL2 0 1 0 0 14.556621864721 14.6551002071363 0.438570412933718
RNF38 0 1 0 0 14.520748569441 14.6189842221245 0.439082159786176
MGRN1 0 1 0 0 14.5168248882798 14.6150339965066 0.439590580576224
CDC23 0 1 0 1 11.2931172601178 14.6110531667952 0.440095711640166
LEO1 0 1 1 0 45.0884465320663 14.5659556245382 0.440599945218216
CCPG1 0 1 0 0 14.4576775485337 14.5554865136484 0.44110131251939
TBC1D23 0 1 0 1 11.2042751832106 14.4961091456503 0.441602639617671
HMMR 0 1 1 1 33.4910199012229 14.4611298396281 0.442102542524537
NMT1 0 1 0 0 14.3462820843393 14.4433374377459 0.442600059007732
FPGS 0 1 0 0 14.3181375124158 14.4150024623883 0.443095814408219
CELF4 0 1 0 0 14.2514996978566 14.3479138302164 0.443592034103852
KDM1B 0 1 0 0 14.2439199015115 14.3402827550934 0.444085345542636
PPM1D 0 1 1 1 33.1504340462377 14.3140678425612 0.444576831081831
IL17RA 0 1 0 1 11.059427434662 14.3087048969928 0.445065332128141
ARMC2 0 1 0 0 14.1823933755587 14.2783399903767 0.445552288314566
LARP4B 0 1 0 1 11.0182306801072 14.2554044700835 0.446037299568212
PHF21A 0 1 0 0 14.1442230002385 14.2399113851371 0.446519968743521
GAREM 0 1 0 0 14.1415969036407 14.2372675224915 0.446999600020154
ZMYND11 0 1 0 0 14.1388046223946 14.2344563509265 0.447476232739138
PTPRR 0 1 0 0 14.1274096367413 14.222984276007 0.447950378496917
CNOT4 0 1 0 1 10.969627799612 14.1925219855916 0.448423117190644
NAPRT1 0 1 0 0 13.9978966382969 14.092595097256 0.44889832895033
RFX7 0 1 0 0 13.9645629489782 14.0590358991275 0.44937232085186
GGNBP2 0 1 1 0 43.4937165728642 14.0507734081285 0.449843703314474
PFKFB2 0 1 0 1 10.8570645803713 14.0468875125698 0.450312259600539
TPTE 0 1 0 0 13.9312314323137 14.0254788883517 0.450778984221866
MYH10 1 1 0 2 8.5594977607905 14.0051606306954 0.451243836151374
APBB1 0 1 0 0 13.8770249933223 13.9709057323906 0.451707601482988
TMEM132B 0 1 0 0 13.8725879886873 13.9664387105672 0.452168658031731
ADAM33 0 1 0 0 13.8314108064386 13.9249829567727 0.452629057992124
TAF4 0 1 0 0 13.8196147762568 13.9131071241813 0.453087193474156
PSD3 0 1 1 0 43.0074822058073 13.8936939618752 0.453543497755387
ARID5B 0 1 0 0 13.7726141327815 13.8657885123268 0.453998452101496
ANKFN1 0 1 1 1 32.1096129444918 13.8646503826999 0.454450615916511
UTP6 0 1 0 2 8.44809774574872 13.8228864893236 0.454902218928706
AHDC1 0 1 1 0 42.6898615767647 13.7910856809538 0.455352731350709
VCPIP1 0 1 0 0 13.6661129593755 13.7585668380299 0.455802205413392
USP45 0 1 0 1 10.6230505428573 13.744119776688 0.456249676844793
BTBD9 0 1 0 1 10.613550181634 13.7318281941479 0.45669504861425
FBXW11 0 1 0 0 13.6358124657367 13.7280613557326 0.457137882134068
CIC 0 1 0 0 13.6324169068904 13.7246428252786 0.457578182133587
NARG2 0 1 0 2 8.36727429452541 13.690642116027 0.458017608175658
ANO9 0 1 0 2 8.34335984969764 13.6515129929678 0.458456446233127
DVL3 0 1 0 0 13.5502448329957 13.6419148415235 0.458893128768531
NFIA 0 1 0 0 13.5496958280851 13.6413621224892 0.459327194157207
SH3D19 0 1 0 1 10.4697483046053 13.5457770957349 0.459763722442159
ZC3H11A 0 1 0 0 13.439713287851 13.530635529249 0.460198426828782
SETBP1 0 1 0 0 13.3899098668605 13.4804951785511 0.46063318577807
DYSF 1 1 1 2 23.7315395439118 13.4733366130315 0.461065721418788
SIK3 0 1 0 0 13.308154851154 13.3981870744628 0.461499662051007
PPP2R5D 0 1 0 0 13.3050851226759 13.395096578682 0.461931183566942
POLRMT 0 1 0 1 10.3253483977665 13.3589522653975 0.462362057079023
CNGB3 0 1 0 0 13.2673052972996 13.3570611655317 0.462790480946553
ARHGAP30 0 1 0 0 13.261511464867 13.3512281367101 0.463216684547197
PCSK2 0 1 0 1 10.2948437068002 13.3194852474538 0.463642050337706
SEMA6A 0 1 0 0 13.2266856423684 13.3161667108342 0.464065095494635
AXL 0 1 0 2 8.13696493167884 13.3138069661664 0.464485790217984
CDH10 0 1 0 0 13.2107901343684 13.3001636666699 0.464904744287648
JUP 0 1 0 0 13.1743684551177 13.2634955877646 0.465323174446586
ZNF598 0 1 0 0 13.1738829893176 13.2630068376951 0.465739204360786
NEDD9 0 1 0 1 10.2506624900118 13.2623235185352 0.466152864940062
CDC73 0 1 0 0 13.1587543043925 13.2477758043111 0.466564894454943
TMED7 2 0 0 0 13.0738961821981 13.1623436006236 0.466978979208436
CAPRIN1 0 1 0 1 10.1587026569437 13.1433457394845 0.467391674804405
DSG3 0 1 1 1 30.3557827461577 13.1073618232719 0.467803873301372
MORC3 0 1 0 0 13.014691079597 13.1027379641335 0.468213961849976
KCNQ2 0 1 0 0 13.011825162271 13.0998526583264 0.468621868947598
TTK 0 1 0 0 12.997139001363 13.0850671427195 0.469028224673791
SCN1A 3 0 1 0 40.503896419317 13.0849031901127 0.469432293009144
ASAH2 0 1 0 0 12.9863543781881 13.0742095594977 0.469834631691367
CTNNB1 0 1 0 0 12.9844862801425 13.0723288234101 0.470234805975605
PHF15 0 1 0 0 12.9302323910262 13.0177078963148 0.470635521324428
SRPK2 0 1 0 1 10.0514587943839 13.0045934586411 0.471034665695716
NR3C2 0 1 0 0 12.8091520312678 12.8958084046701 0.471437129310952
UBN2 0 1 0 2 7.87243856951036 12.880985520708 0.471838112961713
CUL3 0 1 0 0 12.7720591432252 12.8584645761163 0.47223802172537
FAM91A1 0 1 1 0 39.7899904634228 12.8542737656491 0.472635933999068
CHD7 1 1 0 0 12.7126389861054 12.7986424302224 0.473034478009581
BTRC 0 1 0 0 12.7028632930674 12.7888006027437 0.473431331435366
REXO1 0 1 0 0 12.6901476483789 12.7759989342769 0.473826658334232
MSH4 0 1 0 3 6.26141520541795 12.762873796838 0.474220488061954
CTNNA3 0 1 0 1 9.8552995802314 12.7508023537474 0.474612780228013
DPP4 0 1 0 1 9.85072243454149 12.7448804353358 0.47500323830719
