Gene mut_lof mut_mis3 dn_lof dn_mis3 cc_case1 cc_case2 cc_control1 cc_control2
G59 3.76799229200647e-06 1.83215e-05 0 0 0 0 0 0
G60 3.655563214336e-06 1.27965e-05 0 0 0 0 0 0
G61 3.24350412298892e-06 7.71673e-06 0 0 0 0 0 0
G62 3.27699734325774e-06 9.89936e-06 0 0 0 0 1 0
G63 2.43032066361103e-07 1.04146e-10 0 0 0 1 0 0
G64 3.94603987624866e-06 1.08141e-05 1 0 0 0 0 0
G65 3.46416842295513e-06 1.57256e-05 0 0 0 0 0 0
G66 3.50152400806705e-06 8.90039e-06 0 1 0 0 0 0
G67 3.99196359670286e-06 1.30635e-05 0 0 0 0 0 0
G68 9.10378842049665e-08 1.04146e-10 0 0 0 0 0 0
G69 3.60423969619902e-06 1.04146e-10 0 0 0 0 0 0
G70 4.0981171823113e-07 1.04146e-10 0 0 0 0 0 0
G71 4.6642705721345e-08 1.04146e-10 0 0 0 0 0 0
G72 4.12791920129708e-06 1.17344e-05 0 0 0 0 0 0
G73 4.08034708642835e-06 1.10681e-05 0 0 0 0 0 0
G74 1.42704472456911e-06 5.71191e-06 0 0 0 0 0 0
G75 2.95970385894288e-06 7.09049e-06 0 0 0 2 0 2
G76 1.93890518199596e-06 5.67154e-06 0 0 0 0 0 0
G77 2.24632378585178e-06 4.27255e-06 0 0 0 0 0 0
G78 2.95216084684713e-06 6.39956e-06 0 0 0 0 0 0
G79 2.08413302665767e-06 5.28804e-06 0 0 0 0 0 0
G80 1.99167668530929e-06 7.21114e-06 0 0 2 1 1 0
G81 1.7444832514234e-06 7.33343e-06 0 0 0 0 0 0
G82 2.25855716714583e-06 3.8055e-06 0 0 0 0 0 0
G83 1.36844155942114e-06 7.98824e-07 0 0 1 3 1 1
G84 1.55432313277271e-06 3.35843e-06 0 0 0 0 0 0
G85 1.52858893309901e-06 4.2081e-06 0 0 0 0 0 0
G86 1.04739097501498e-06 2.56407e-06 0 0 0 0 0 0
G87 1.01270879739946e-06 1.84819e-06 0 0 0 0 0 0
G88 1.11742407840863e-06 2.80089e-06 0 0 0 0 0 0
G89 1.42873302499533e-06 3.24709e-06 0 0 0 0 0 0
G90 9.9282025398005e-07 1.23097e-06 0 0 1 0 0 0
G91 6.4348276335503e-07 2.02317e-06 0 0 0 0 0 0
G92 6.2373756516196e-07 1.40356e-06 0 0 0 0 0 0
G93 7.32326225258925e-07 1.04146e-10 0 0 0 0 0 0
G94 4.40278398559254e-07 1.28711e-06 0 0 0 0 0 0
G95 1.05473807217561e-06 2.50932e-06 0 0 0 0 0 2
G96 2.24374591461954e-06 5.46531e-06 0 0 0 0 0 0
G97 7.49115387002065e-07 3.74611e-06 0 0 0 0 0 0
G98 6.7301676031069e-07 6.71613e-06 0 0 5 0 8 0
G99 7.8719208841121e-07 2.90008e-06 0 0 0 24 0 45
G100 5.86568714896275e-07 1.69765e-06 0 0 0 2 0 3
G101 1.24213917761571e-06 3.27749e-06 0 0 0 0 0 0
G102 1.06833929391284e-06 2.19358e-06 0 0 0 1 0 0
G103 1.25523128581075e-06 3.32125e-06 0 0 0 0 0 0
G104 1.35340925999832e-06 2.4136e-06 0 0 0 0 0 0
G105 8.1742425502339e-07 2.27478e-06 0 0 0 0 0 0
G106 9.557476000889e-07 1.49875e-06 0 0 0 0 0 0
G107 1.51379116750088e-06 3.83684e-06 0 0 0 0 0 0
G108 1.29495582525917e-06 4.3331e-06 0 0 0 0 0 0
G109 8.26295155470105e-07 1.72819e-06 0 0 0 0 0 0
G110 3.52473203280543e-06 5.03496e-06 1 0 0 0 1 0
G111 2.29920742923942e-06 6.87951e-06 0 0 0 0 0 0
G112 3.05065037357452e-06 5.28979e-06 0 0 2 0 4 0
G113 2.47283356788614e-06 8.22199e-06 0 0 0 0 0 0
G114 2.57235100669157e-06 8.5269e-06 0 0 0 0 0 0
G115 2.66531205181812e-06 5.26524e-06 1 0 0 0 0 0
G116 1.24806863220958e-06 7.00464e-06 0 0 0 0 0 0
G117 2.53128789463326e-06 8.62184e-06 0 0 0 0 0 0
G118 8.42990365486115e-07 2.34204e-06 0 0 0 0 0 0
G119 2.71226335151795e-07 1.04146e-10 0 0 0 0 0 0
G120 3.90952347841402e-07 4.01816e-06 0 0 0 0 0 0
G121 1.53684209288757e-06 4.60159e-06 0 0 0 0 0 0
G122 2.28475492246088e-06 6.10082e-06 0 0 9 0 26 0
G123 1.17536938753252e-06 6.29999e-06 0 0 0 0 0 0
G124 1.04229216503248e-06 3.9655e-06 0 0 0 0 0 0
G125 7.5111699642272e-06 1.04146e-10 0 0 0 0 0 0
G126 6.33097959654995e-06 3.12375e-05 0 0 0 0 0 0
G127 3.3150685378845e-06 7.32102e-06 0 0 0 0 0 0
G128 2.37567914617692e-06 1.04146e-10 0 0 0 0 0 2
G129 1.51720082185174e-06 4.81218e-06 0 0 0 0 0 0
G130 1.69543367397921e-06 5.51181e-06 0 0 0 0 0 0
G131 1.41676582864237e-06 2.55187e-06 0 0 0 0 0 0
G132 1.35195578692763e-06 3.90498e-06 0 0 0 0 0 0
G133 9.70502362154595e-07 6.55382e-06 0 0 0 0 0 0
G134 1.04887960566711e-06 3.08118e-06 0 0 0 0 0 0
G135 1.76893232505997e-06 6.54345e-06 0 0 0 0 0 0
G136 3.5806626085595e-06 1.04146e-10 0 0 0 7 0 8
G137 2.52470464880402e-06 5.36361e-06 0 0 0 0 0 0
G138 2.80897471730203e-06 4.90941e-06 0 0 0 0 0 0
G139 2.08661212157331e-06 8.35266e-06 0 0 0 0 0 0
G140 9.49637066676745e-07 3.85842e-06 0 0 0 0 0 0
G141 7.6272411166732e-07 3.69329e-06 0 0 0 0 0 0
G142 1.69483453639695e-06 2.84665e-06 0 0 1 0 0 1
G143 1.84337602067363e-06 1.46977e-06 0 0 0 0 0 0
G144 1.48508058227357e-06 2.67845e-06 0 0 0 0 0 0
G145 7.947245843371e-07 7.70485e-07 0 0 0 0 0 0
G146 2.5689822851216e-07 1.04146e-10 0 0 0 0 0 0
G147 1.22391352155694e-06 3.44536e-06 0 0 0 0 0 0
G148 1.32625408913575e-06 2.35512e-06 0 0 0 0 0 0
G149 1.48590868571679e-06 5.34518e-08 0 0 0 0 0 0
G150 3.61323689573773e-06 1.51566e-05 0 0 0 0 0 0
G151 5.6922839064614e-07 1.98982e-06 0 0 0 0 0 0
G152 7.01400982045525e-07 2.81609e-06 0 0 0 0 0 0
G153 1.08740154073676e-06 1.36298e-06 0 0 0 0 0 0
G154 1.60267011040443e-06 7.03621e-06 0 0 1 0 1 0
G155 4.5328501450693e-06 2.24629e-07 0 0 0 0 0 0
G156 3.30724220304839e-06 1.74155e-05 0 0 0 0 2 0
G157 9.97405189629315e-07 3.19945e-06 0 0 0 0 0 0
G158 2.88079906639658e-07 8.07955e-07 0 0 0 0 0 0
G159 2.76998963797752e-06 1.15125e-05 0 0 0 0 0 0
G160 1.77604202362486e-06 1.06654e-05 0 0 0 0 0 0
G161 6.94083031628055e-07 4.2143e-06 0 0 0 0 0 0
G162 2.11804333884706e-06 6.74704e-06 0 0 0 0 0 0
G163 1.76907547809255e-06 4.47185e-06 0 0 0 0 0 0
G164 3.58778111867517e-07 1.32983e-06 0 0 0 0 0 0
G165 9.23944898800755e-07 4.39283e-06 0 0 1 0 7 0
G166 6.75251025146635e-07 3.772e-06 0 0 0 0 0 0
G167 2.55517006761464e-07 1.11306e-06 0 0 0 0 1 0
G168 1.03645695117195e-06 4.35907e-06 0 0 0 0 0 0
G169 1.11399425662309e-06 3.36146e-06 1 0 0 0 0 0
G170 1.96281298882024e-06 6.93109e-06 0 0 0 0 0 0
G171 1.57184239381381e-06 5.16846e-06 0 0 0 0 0 0
G172 2.08588482549042e-06 6.34354e-06 0 0 0 0 0 0
G173 1.59458702600992e-06 1.92829e-06 0 0 0 4 0 7
G174 7.25419484732265e-07 7.7609e-07 0 0 0 0 0 0
G175 1.0877975444261e-06 4.85377e-06 0 0 0 0 0 0
G176 8.36430362366985e-07 2.70664e-06 0 0 5 1 7 0
G177 9.9083762864852e-07 7.09172e-07 0 0 0 1 1 0
G178 9.3427982587791e-07 4.28481e-06 0 0 1 0 2 0
G179 1.18512761032634e-06 2.92213e-06 0 0 0 0 0 0
G180 1.05274179141276e-06 3.45725e-06 0 0 0 0 0 0
G181 1.20732629378004e-06 6.92898e-07 0 0 2 0 4 0
G182 1.63508787446513e-06 2.09221e-06 0 0 0 0 0 0
G183 6.65146875483265e-07 3.78274e-07 0 0 0 0 0 0
G184 1.60659308264905e-06 6.79306e-06 0 0 0 0 0 0
G185 1.73598905609837e-06 1.04146e-10 0 0 0 0 0 0
G186 1.84173222358415e-06 6.08774e-06 0 0 0 0 0 0
G187 1.60309637543282e-06 4.36809e-06 0 0 0 0 1 0
G188 2.47098679482337e-06 6.96701e-06 0 0 0 0 0 0
G189 2.13835769228969e-06 7.10114e-06 0 0 0 6 0 2
G190 1.96464868727232e-06 6.3562e-06 0 0 0 0 0 0
G191 2.40128000886643e-06 7.97776e-06 0 0 0 21 0 35
G192 1.77909724205067e-06 1.53003e-06 0 0 18 25 21 37
G193 2.1581761561853e-06 1.54734e-06 0 0 0 0 0 0
G194 2.16255018729173e-06 1.35597e-06 0 0 0 0 0 0
G195 1.8568105713051e-06 4.41505e-06 0 0 0 0 0 0
G196 1.73768662173863e-06 1.04146e-10 0 0 0 0 0 0
G197 1.62664342539793e-06 4.43104e-06 0 0 0 0 0 0
G198 1.8429381381756e-06 8.79657e-06 0 0 12 0 20 0
G199 1.97943565535435e-06 8.83546e-06 0 0 0 0 0 0
G200 1.83191721991759e-06 5.43732e-06 0 0 0 0 0 0
G201 7.9472013035454e-07 1.85227e-06 0 0 0 0 0 0
G202 9.28874509028565e-07 1.04146e-10 0 0 0 3 0 6
G203 6.11804830205345e-07 1.04146e-10 0 0 0 0 0 0
G204 6.86552631526265e-07 1.04146e-10 0 0 0 0 0 2
G205 6.17026450101125e-07 1.04146e-10 0 0 0 3 0 3
G206 9.10489465014875e-07 1.04146e-10 0 0 0 1 0 0
G207 8.4393437238282e-07 1.04146e-10 0 0 26 0 47 0
G208 3.35244592893949e-07 1.2473e-06 0 0 0 0 1 0
G209 1.23191493108438e-06 2.84944e-06 0 0 0 0 0 0
G210 1.63136664617172e-06 4.91297e-06 0 0 4 0 15 0
G211 6.80155603764895e-07 4.02737e-06 0 0 0 0 0 0
G212 4.3227659496182e-07 1.67978e-07 0 0 0 0 0 0
G213 6.776485141164e-07 9.06025e-07 0 0 0 0 0 0
G214 5.3587650992674e-07 7.69216e-07 0 0 0 0 0 0
G215 2.77935932277808e-06 1.44597e-05 0 0 0 0 0 0
G216 1.36780807540658e-07 1.04146e-10 0 0 0 0 2 0
G217 2.22587158238494e-06 1.41834e-05 0 0 50 0 80 0
G218 9.13820183842555e-07 1.04146e-10 0 0 0 0 0 0
G219 2.26669071938485e-06 1.15614e-05 0 0 0 0 0 0
G220 1.17195652247144e-06 2.08455e-06 0 0 0 0 0 0
G221 1.53291509212562e-06 5.10889e-06 0 0 0 0 0 0
G222 1.41281031836043e-06 7.21523e-06 0 0 0 0 0 0
G223 1.55849404820161e-06 1.74723e-06 0 0 0 0 0 0
G224 1.28419301184882e-06 4.1531e-06 0 0 6 0 12 0
G225 1.36809311237716e-06 1.04146e-10 0 0 0 0 0 1
G226 8.09317600753625e-07 1.21658e-06 0 0 0 0 0 0
G227 1.25844953597033e-06 5.58683e-06 0 0 1 0 0 0
G228 1.22436617557051e-06 3.26505e-06 0 0 0 0 0 0
G229 2.23306774721882e-06 4.18079e-06 1 0 0 1 0 3
G230 3.75514094332561e-07 3.43681e-06 0 0 0 0 0 0
G231 4.33786565824588e-07 2.51221e-06 0 0 0 0 0 0
G232 1.41002831152995e-06 4.07681e-06 0 0 0 0 0 0
G233 1.55255940702862e-06 6.33635e-06 0 0 0 0 0 0
G234 1.45011208237514e-06 4.02102e-06 0 0 0 2 0 3
G235 1.30009523550187e-06 3.17204e-06 0 0 2 0 2 0
G236 1.42437629630485e-06 3.95202e-06 0 0 0 0 0 0
G237 4.87636802626346e-08 1.04146e-10 0 0 0 0 0 0
G238 1.14730806534261e-06 2.94548e-06 0 0 0 0 0 0
G239 1.07529597118283e-06 4.5929e-06 0 0 0 2 0 1
G240 7.9149890819815e-07 1.99288e-06 0 0 0 0 0 0
G241 2.8690970118746e-07 1.04146e-10 0 0 0 0 0 0
G242 2.59509493065367e-07 1.04146e-10 0 0 0 0 0 0
G243 1.0782123812045e-06 4.1246e-06 0 0 0 0 0 0
G244 1.52143651727784e-06 2.74837e-06 0 0 0 0 0 0
G245 1.28427635698416e-06 3.04772e-06 0 0 0 0 0 0
G246 9.27689519142255e-07 1.4439e-06 0 0 7 0 10 0
G247 2.08528914115222e-06 4.30156e-06 0 0 0 0 0 0
G248 2.86735014497929e-06 9.11841e-06 0 0 0 0 0 0
G249 2.49079188328926e-06 6.65018e-06 0 0 0 0 0 0
G250 3.18542626451958e-06 2.85672e-06 0 0 0 0 0 0
G251 2.09247957248535e-06 4.79118e-06 0 0 0 0 0 0
G252 1.70984254684415e-06 2.2436e-06 0 0 0 0 0 0
G253 2.86255419323663e-06 6.9063e-06 0 0 0 0 0 0
G254 1.80480735297625e-06 1.04146e-10 0 0 0 0 0 0
G255 1.07698298190392e-06 2.87414e-07 0 0 0 0 0 0
G256 4.50806975691114e-08 1.04146e-10 0 0 0 0 0 0
G257 1.08129722625246e-06 1.04146e-10 0 0 0 0 0 0
G258 3.24793035450025e-06 6.44518e-06 0 0 0 0 0 0
G259 2.58205836449295e-06 5.53767e-06 0 0 0 0 0 0
G260 2.0248585404225e-06 1.04146e-10 0 0 0 0 0 0
G261 1.31959019225351e-06 1.04146e-10 0 0 0 0 0 1
G262 1.33253794244754e-06 1.2737e-06 0 0 0 0 0 0
G263 2.37157540780005e-06 1.04146e-10 0 0 0 0 0 0
G264 2.46118274613979e-06 1.04146e-10 0 0 0 0 0 0
G265 1.33606643600121e-06 1.04146e-10 0 0 0 0 0 0
G266 7.3563104827814e-07 1.04146e-10 0 0 0 0 0 0
G267 4.58183085831982e-08 1.04146e-10 0 0 0 0 0 0
G268 2.02412610987235e-06 3.25813e-06 0 0 0 0 0 0
G269 2.65024538401348e-06 1.04146e-10 0 0 0 0 0 0
G270 2.39809178375764e-06 5.94036e-06 0 0 0 5 0 13
G271 1.37795190785941e-06 1.70766e-06 0 0 0 3 0 1
G272 1.94885626384406e-06 1.04146e-10 0 0 0 0 0 0
G273 3.11987698326706e-06 6.78328e-06 0 0 0 0 0 0
G274 3.48183241027949e-06 1.30147e-05 0 0 0 0 0 0
G275 3.43310139447326e-06 1.04146e-10 0 0 0 0 0 0
G276 3.55061671958489e-06 1.2091e-05 0 0 0 0 0 0
G277 1.99523857459881e-06 1.04146e-10 0 0 0 0 0 0
G278 3.31852181375776e-06 1.1942e-05 0 0 0 0 0 0
G279 3.70568362278841e-06 7.9134e-06 0 0 0 1 0 1
G280 4.43437945546521e-06 1.14965e-05 0 0 0 15 1 28
G281 3.64926335572016e-06 5.18424e-06 0 0 0 0 0 0
G282 2.97937545714288e-06 1.21562e-05 0 0 0 0 0 0
G283 6.130212531619e-06 1.16776e-05 0 0 0 0 0 0
G284 3.2260010039693e-06 9.74967e-06 0 0 0 0 0 0
G285 1.70492149995606e-06 5.2371e-06 0 0 0 0 0 0
G286 1.76626192261098e-06 7.50061e-06 0 0 0 0 0 0
G287 3.29580022783831e-06 8.80036e-06 0 0 0 0 0 0
G288 4.07270131687227e-06 1.32416e-05 0 0 0 0 0 0
G289 1.69987861951187e-06 8.91828e-06 0 0 0 0 0 0
G290 6.25531289339005e-06 1.92315e-05 0 0 0 0 0 0
G291 2.27755414518583e-07 1.04146e-10 0 0 1 0 3 0
G292 4.49738914796823e-06 3.1137e-06 0 0 0 0 0 0
G293 2.49733846031359e-06 1.53207e-06 0 0 0 0 0 0
G294 4.65195769123906e-06 6.74565e-06 0 0 0 0 2 0
G295 3.09581635316327e-06 1.04146e-10 0 0 0 0 0 0
G296 1.49688350467421e-06 3.25916e-06 0 0 2 2 0 2
G297 1.39414833549323e-06 4.31954e-06 0 0 0 0 0 0
G298 1.3613670357346e-06 3.88898e-06 0 0 0 55 0 20
G299 2.701856755079e-06 6.39505e-06 0 0 76 3 97 0
G300 1.31457718189637e-06 7.70205e-06 0 0 0 0 0 0
G301 1.44960877308093e-06 8.23308e-06 0 0 0 0 0 0
G302 4.67024511547242e-08 1.04146e-10 0 0 0 0 0 0
G303 1.4690569800055e-06 3.30271e-06 0 0 0 0 0 1
G304 6.0316356306092e-07 1.34945e-06 0 0 0 0 0 0
G305 4.31459968966553e-07 1.99525e-08 0 0 0 0 1 0
G306 1.22469556635299e-06 3.06989e-06 0 0 0 0 0 0
G307 1.33025722585184e-06 5.95005e-06 0 0 0 0 0 0
G308 1.31988167766281e-06 3.4278e-06 0 0 0 0 0 0
G309 1.47969357037589e-06 6.33154e-06 0 0 0 0 0 0
G310 1.73221278002884e-06 6.82997e-06 0 0 0 0 0 0
G311 1.49766471887666e-06 6.0015e-06 0 0 0 0 0 0
G312 2.43172477374382e-06 7.19746e-06 0 0 0 0 0 0
G313 4.2372554778044e-06 4.83702e-06 0 0 0 6 0 18
G314 1.10383005683702e-06 1.04146e-10 0 0 0 0 0 0
G315 2.55485149696149e-06 9.80244e-06 0 0 0 2 0 2
G316 2.71719030769252e-06 1.15324e-05 0 0 0 0 0 0
G317 2.90849466632044e-06 6.5269e-06 0 0 0 0 0 0
G318 2.67953914939023e-06 1.32721e-05 0 0 0 0 0 0
G319 2.39515081216814e-06 1.29301e-05 0 0 0 0 0 0
G320 2.42127976633598e-06 1.04146e-10 0 0 0 0 0 0
G321 2.90465981357576e-06 8.0711e-06 0 0 0 0 0 0
G322 2.28101711311956e-06 9.578e-06 0 0 0 0 0 0
G323 4.55530089594125e-07 2.40085e-08 0 0 0 6 0 4
G324 1.75196105694034e-06 4.4357e-06 0 0 0 0 0 0
G325 1.80390424302971e-06 6.49175e-06 0 0 0 0 0 0
G326 2.65314069446892e-06 7.8246e-06 0 0 0 2 0 0
G327 1.96876069582796e-06 5.37003e-06 0 0 0 0 0 0
G328 4.91436833093914e-06 1.01574e-06 0 0 0 0 0 0
G329 6.23013611190045e-07 3.2233e-06 0 0 0 0 0 0
G330 6.1407495027924e-07 3.38888e-06 0 0 0 0 0 0
G331 7.13766221019615e-07 2.45266e-06 0 0 0 0 0 0
G332 8.2953066469576e-07 2.74934e-06 0 0 0 0 0 0
G333 6.77958312105315e-07 2.69997e-06 0 0 0 0 0 1
G334 7.6764488442106e-07 2.12874e-06 0 0 1 0 8 0
G335 1.27431402644204e-06 4.916e-06 0 0 0 0 1 0
G336 4.74756910388701e-07 2.18795e-06 0 0 0 0 0 0
G337 2.38580386814694e-07 1.04146e-10 0 0 0 0 0 0
G338 4.76022983170169e-07 2.50946e-06 0 0 0 0 0 0
G339 9.15845252377995e-08 1.04146e-10 0 0 0 0 0 0
G340 8.55903120426675e-07 2.38724e-06 0 0 0 0 0 0
G341 1.02041655720718e-06 2.63789e-06 0 0 0 0 0 0
G342 1.91819966811922e-07 1.04146e-10 0 0 0 0 0 0
G343 8.9681719979949e-07 1.77263e-06 0 0 0 0 0 0
G344 5.57148824731845e-07 1.82901e-06 0 0 0 4 0 1
G345 5.94588020163985e-07 1.04146e-10 0 0 0 0 0 0
G346 4.9493436855957e-07 1.04146e-10 0 0 0 0 0 0
G347 2.1002491732146e-06 2.26581e-06 0 0 0 0 1 0
G348 1.46102874602532e-06 2.66946e-06 0 0 0 10 0 18
G349 5.2488850658019e-07 2.15149e-06 0 0 0 0 0 0
G350 4.54626645356815e-07 3.33896e-06 0 0 0 0 0 0
G351 7.0376656224562e-07 3.36564e-06 0 0 0 0 0 0
G352 4.06997765608678e-07 1.04146e-10 0 0 0 2 0 10
G353 5.4946048357915e-07 7.15917e-07 0 0 0 0 0 0
G354 1.04083070655891e-06 9.86266e-07 0 0 0 0 0 0
G355 1.07939455454067e-06 3.84598e-06 0 0 0 2 0 4
G356 9.0553961206164e-08 1.04146e-10 0 0 0 0 0 0
G357 7.2378351513226e-07 3.80005e-06 0 0 0 21 0 35
G358 9.47712473718755e-07 3.67742e-06 0 0 0 0 0 0
G359 6.5830599492442e-07 3.10464e-06 0 0 0 0 0 0
G360 6.02039096170825e-07 1.91327e-06 0 0 6 0 14 0
G361 7.50756647358725e-07 5.0949e-06 0 0 0 0 0 0
G362 5.98043946116265e-07 3.69124e-06 0 0 0 0 0 0
G363 7.4249024306804e-07 4.01692e-06 0 0 33 0 46 0
G364 5.8276698094509e-07 1.04146e-10 0 0 1 0 1 0
G365 7.3078762320445e-07 1.04146e-10 0 0 0 0 0 0
G366 8.4246663418855e-07 1.04146e-10 0 0 0 0 0 0
G367 5.21924330772725e-07 1.04146e-10 0 0 0 0 0 0
G368 4.52669852478529e-07 3.42303e-06 0 0 0 0 0 0
G369 4.80192652566662e-07 5.38707e-06 0 0 0 0 0 0
G370 2.20987965023356e-06 5.48106e-06 0 0 0 0 0 1
G371 2.1646948032311e-06 4.01185e-06 0 0 0 0 0 0
G372 8.9681848026111e-07 4.084e-06 0 0 0 0 0 0
G373 1.58648692497428e-06 6.98363e-06 0 0 0 10 1 8
G374 1.24774037396576e-06 3.92489e-06 0 0 0 0 0 0
G375 1.5819963655389e-06 6.99087e-06 0 0 0 0 0 0
G376 6.56405526496185e-07 1.0354e-06 0 0 0 0 0 0
G377 3.19019237463983e-06 1.00262e-05 0 0 2 0 2 0
G378 1.44760946771961e-06 1.04146e-10 0 0 0 0 0 0
G379 6.7125973949101e-07 2.11714e-06 0 0 0 0 0 0
G380 8.5552519466178e-07 1.04146e-10 0 0 0 0 0 0
G381 1.99001404475875e-06 6.70367e-06 0 0 1 0 1 0
G382 4.40856535129102e-08 1.04146e-10 0 0 0 0 0 0
G383 2.47744892584601e-06 6.7946e-06 0 0 0 0 0 0
G384 1.97598366449354e-06 7.42441e-06 0 0 0 0 0 0
G385 2.80618836925281e-06 6.28942e-06 0 0 13 0 13 0
G386 3.10608858562241e-06 5.80357e-06 0 1 0 0 0 0
G387 2.92480588884428e-06 8.56557e-06 0 0 0 0 0 0
G388 6.2824459944275e-07 1.04146e-10 0 0 0 0 0 0
G389 2.55613344536207e-06 7.02005e-06 0 0 0 0 0 0
G390 1.42087768075583e-06 1.20205e-06 0 0 0 0 0 0
G391 1.17695943550741e-06 1.68712e-06 0 0 0 0 0 0
G392 1.68644838413218e-06 1.77733e-06 0 0 0 0 0 0
G393 1.63085743129227e-06 2.90562e-06 0 0 0 0 0 0
G394 8.6715629819329e-07 3.38725e-06 0 0 0 0 0 0
G395 2.81916516383973e-06 1.03231e-05 0 0 1 0 3 0
G396 1.48023149166594e-06 1.04146e-10 0 0 0 1 0 0
G397 3.57380478597279e-06 7.15633e-06 0 0 0 0 0 0
G398 2.33944788661718e-06 6.8679e-06 0 0 1 0 5 0
G399 1.39516127134734e-06 3.00275e-06 0 0 2 0 1 0
G400 1.47373823248489e-06 2.80246e-06 0 0 0 0 0 0
G401 1.47118472131442e-06 3.85843e-07 0 0 2 0 4 0
G402 1.24414124262382e-06 1.04146e-10 0 0 0 0 0 0
G403 1.4799773410384e-06 1.04146e-10 0 0 0 0 0 0
G404 2.67683533348356e-06 1.04146e-10 0 0 0 0 1 1
G405 3.22424283204515e-06 3.59783e-06 0 0 0 0 0 0
G406 2.65816416354823e-06 5.03414e-06 0 0 0 14 0 21
G407 2.54070999214833e-06 4.2938e-06 0 0 2 0 5 1
G408 1.60790508959262e-06 2.83589e-06 0 0 0 0 0 0
G409 2.67594104068383e-06 8.37605e-06 0 0 0 0 0 0
